lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA,AREA,POP0,POP2,POP10,POP15,POP20,POP40
663104.07,7461455.2,Juliano Moreira,12397,4552123,4187,16,16171939.69,0.03,0.13,0.1,0.07,0.34,0.34
663861.51,7459025.97,Riocentro,11326,4552124,3515,16,3022474.66,0.03,0.11,0.09,0.07,0.35,0.35
667514.8,7467962.54,Vila Valqueire,28828,4552125,8743,16,4219845.37,0.02,0.1,0.09,0.07,0.32,0.4
668514.83,7466287.1,Praca Seca 1,27979,4552126,8771,16,3703870.77,0.03,0.12,0.09,0.07,0.31,0.38
669615.87,7467135.09,Praca Seca 2,27777,4552127,8918,16,2675959.98,0.03,0.12,0.09,0.07,0.31,0.38
653626.46,7472918.52,Bangu - Av.Brasil,49908,4552201,13233,17,16716398.33,0.03,0.13,0.1,0.08,0.34,0.32
654435.24,7470005.94,Senador Camara 2,26113,4552202,7208,17,2659871.73,0.04,0.15,0.11,0.08,0.33,0.3
654989.97,7466606.54,Senador Camara 1,74296,4552203,20546,17,14634389.73,0.04,0.15,0.11,0.08,0.33,0.3
656735.73,7467595.92,Estacao de Bangu,43517,4552204,12809,17,6148983.18,0.03,0.13,0.1,0.08,0.34,0.32
656831.48,7470188.99,Estr. do Engenho,43083,4552205,11776,17,2777477.66,0.03,0.14,0.1,0.08,0.33,0.32
656392.82,7473636.82,Estrada Gericino,35478,4552206,12673,17,15508438.43,0.03,0.14,0.1,0.08,0.33,0.32
658162.64,7470383.54,Guilh.da Silveira 1,38783,4552207,10978,17,1873022.74,0.03,0.14,0.1,0.08,0.33,0.32
657970.16,7467928.99,Guilh.da Silveira 2,15620,4552208,4468,17,2867173.53,0.03,0.14,0.1,0.08,0.33,0.32
658970.59,7468105.25,Padre Miguel 1,31204,4552209,9020,17,3136320.12,0.03,0.13,0.1,0.08,0.32,0.35
659114.14,7470394.75,Padre Miguel 2,31083,4552210,8683,17,1797139.78,0.03,0.13,0.1,0.08,0.32,0.35
660668.09,7471432.95,Realengo-Av.Brasil,49314,4552211,14087,17,10731205.92,0.03,0.13,0.1,0.07,0.33,0.34
660697.24,7467217.06,Realengo,119775,4552212,33794,17,15956889.55,0.03,0.13,0.1,0.07,0.33,0.34
664758.24,7467141.23,Sulacap,10750,4552213,3132,17,7682759.84,0.02,0.11,0.09,0.07,0.33,0.37
665871.54,7469035.25,Campo dos Afonsos,1424,4552214,355,17,3204056.02,0.02,0.14,0.14,0.09,0.3,0.31
664300.67,7470049.37,Vila Militar 1,9689,4552215,2665,17,6263769.67,0.04,0.15,0.1,0.07,0.36,0.29
662757.84,7469709.7,Magalhaes Bastos,23753,4552216,6723,17,2011821.27,0.03,0.13,0.1,0.07,0.32,0.34
663184.76,7472181.69,Vila Militar 2,5122,4552217,1314,17,4456457.68,0.04,0.15,0.1,0.07,0.36,0.29
665328.66,7472806.94,Deodoro 1,310,4552218,89,17,2282334.84,0.03,0.14,0.1,0.08,0.32,0.33
